ProductGroupID,GroupName,Description,Category,SubCategory,CreatedDate,UpdatedDate,Status,IsFeatured,ImageURL
1,must,"Product product capital director. Speech about later represent know.
Decide bag friend. Before glass have cold technology.
Professional fall million sea appear. Never mean happy as.",Toys,Television,2021-11-05,2024-02-16,Discontinued,False,https://dummyimage.com/118x506
2,reveal,"Interest return nothing reality lot. View statement billion between above bank. Kind accept relate stage discover.
Car performance ball skin month. Crime left particularly however.",Appliances,Mobile,2023-04-18,2024-02-20,Active,True,https://dummyimage.com/118x941
3,likely,"Buy individual toward question great throughout best system. Town form again sport for she account. White my know positive travel several beat.
Range that director. Once than should degree.",Furniture,Mobile,2023-02-10,2024-05-19,Active,True,https://placekitten.com/317/360
4,continue,"Young by bill wind teach although. Never interview official particularly hundred tend.
Each official level president pass ago. Sound pull relate investment dark past central.
Read month business.",Furniture,Laptop,2020-10-23,2024-06-10,Active,False,https://placeimg.com/220/908/any
5,house,Very behavior feeling front however international. Station special house less subject room standard.,Books,Laptop,2024-04-18,2024-01-19,Discontinued,True,https://dummyimage.com/217x71
6,enjoy,"Indeed sure thousand. Recognize apply represent food yet rest middle outside.
More cold ability positive. Miss action lawyer factor security we likely. Economy why such speech.",Appliances,Camera,2020-06-16,2024-04-25,Active,False,https://www.lorempixel.com/457/116
7,month,Government each direction happy wrong house. Left you play while.,Appliances,Television,2023-02-23,2024-01-13,Discontinued,False,https://dummyimage.com/242x87
8,similar,"Site remain newspaper sea. Court music medical husband.
Those seek organization wind save. Book however risk field magazine. Free condition standard thing.",Toys,Television,2022-10-05,2024-02-20,Discontinued,False,https://www.lorempixel.com/862/725
9,court,"Food medical name natural exactly such trip. Career teach south.
School particularly account fear reveal. Know certain only other management fly nor. Contain concern grow car sea most.",Furniture,Laptop,2020-02-04,2024-05-02,Active,False,https://placeimg.com/12/839/any
10,age,"Fast accept child. Evidence white why.
Hour no also history note. Nearly those apply agent best. Force late whole might nearly.",Appliances,Tablet,2020-06-06,2024-01-09,Discontinued,False,https://placekitten.com/684/908
11,popular,"Feeling rich herself success consumer cold realize decade. Focus receive bad door.
At prove media work. Almost must charge me wife. Investment difference suggest church sit meet tend.",Toys,Laptop,2020-08-27,2024-05-13,Discontinued,False,https://placekitten.com/387/563
12,single,"Market culture rather item same politics record. Draw system to term. Either term each throw from per.
Past pressure someone reality. List either arrive ahead process.",Furniture,Laptop,2020-08-11,2024-01-17,Active,False,https://www.lorempixel.com/345/456
13,who,"Audience place after lose. Usually four small everybody maintain technology seven. Couple industry outside back what.
Record speech impact for. Grow involve better act.",Furniture,Mobile,2020-01-20,2024-04-23,Discontinued,False,https://www.lorempixel.com/194/532
14,loss,"Foreign other physical own oil. Style special word several.
Yes discuss above yeah weight. Natural maintain provide field.",Books,Camera,2021-03-25,2024-04-03,Active,False,https://placeimg.com/531/570/any
15,what,"Medical Republican medical light increase.
Still you heart four receive education decade quite. Process beyond fly little main a student.
From cut difficult. Daughter join manage line.",Books,Laptop,2023-01-04,2024-05-30,Discontinued,False,https://dummyimage.com/93x482
16,parent,"Allow may challenge such adult place life. High then central.
Understand safe toward enter cup early.
Baby bit later message land big recently. Make product analysis.",Furniture,Tablet,2023-08-10,2024-04-24,Active,False,https://placeimg.com/393/173/any
17,traditional,"Become management ready ever mention. Common foot leave man nature he employee.
Painting as fine most. Reduce particular compare can about industry. To forward teach keep catch.",Books,Mobile,2023-07-14,2024-03-21,Discontinued,False,https://www.lorempixel.com/77/410
18,research,Way throughout much including instead. Truth employee image.,Appliances,Television,2023-12-16,2024-02-16,Discontinued,False,https://www.lorempixel.com/75/798
19,million,"Save security agreement popular. Ago prepare relate mouth compare radio continue. Me movie various past.
Color into strategy push fact can. Assume play author morning test. Bank rich begin the.",Books,Tablet,2021-02-20,2024-05-09,Discontinued,True,https://placekitten.com/930/298
20,career,"Weight return fast little environment send.
International guess suffer learn. Impact pick total per without as economy.",Appliances,Tablet,2021-03-23,2024-01-03,Discontinued,True,https://placeimg.com/838/354/any
21,enter,"Break deal several talk happen term change section.
Seven throughout factor ball owner. Be prevent eat boy. Sister leave must job into world listen scientist.",Electronics,Laptop,2021-09-18,2024-05-12,Discontinued,False,https://placekitten.com/475/355
22,foot,Resource somebody whom become that step cold. Program talk themselves morning nothing where ground.,Appliances,Mobile,2021-06-12,2024-01-05,Active,False,https://dummyimage.com/588x602
23,commercial,"Right it experience cell turn. Need ready all professional.
Benefit full nearly. Management little after home. She main cultural bad.",Furniture,Tablet,2020-07-29,2024-05-02,Active,False,https://placekitten.com/727/17
24,particularly,"Blood too game number artist. Clearly hot table customer cover structure and.
Stay about town better anyone you consider stop. Peace establish move worker expect player meeting.",Books,Television,2020-04-20,2024-06-12,Discontinued,False,https://placekitten.com/543/551
25,decision,Foot red I add. Instead president next whether next recognize ago. Upon cell morning reach.,Toys,Camera,2023-08-22,2024-01-03,Active,True,https://placeimg.com/137/508/any
26,thought,"Movement relationship color ok. See capital quickly. Girl research issue though. Until behavior they occur.
Any mission smile low national contain. Prepare cup bring everybody.",Appliances,Laptop,2022-06-23,2024-04-07,Active,True,https://placeimg.com/619/386/any
27,phone,"Become ability analysis. We rate alone eat each organization away.
Old partner degree him. Bring game commercial few ability remember ten. Art draw stay story soldier.",Furniture,Tablet,2020-06-12,2024-05-31,Discontinued,True,https://www.lorempixel.com/830/509
28,time,"Level dark thing so between total. Collection little set benefit increase size beautiful this.
Attack media number news. Fire process usually daughter light nor as.
Space film sit.",Toys,Laptop,2023-08-08,2024-02-24,Active,False,https://placekitten.com/452/509
29,conference,Perhaps force type east policy law. Affect wife seek. Control article often take time.,Electronics,Television,2022-02-11,2024-06-01,Active,True,https://www.lorempixel.com/549/224
30,enter,"Again term close affect close action without him. Both sport training able range toward.
Until meet learn can. Task unit democratic however blue project.",Electronics,Camera,2024-06-10,2024-03-20,Discontinued,True,https://placeimg.com/359/731/any
31,personal,Mrs century site few board treat girl. Off collection financial health still easy.,Toys,Camera,2021-10-10,2024-02-20,Active,True,https://placekitten.com/35/279
32,thousand,"Land deep often other. Management truth early partner. End development perhaps.
Trial record western series test.
Class take sort talk star rather. Between energy shoulder sort second owner manager.",Appliances,Laptop,2020-03-30,2024-03-01,Discontinued,False,https://placekitten.com/678/136
33,modern,"Prevent suggest world laugh page. Be person thank hour. Need game outside across specific real.
Writer themselves low evidence career. Kid music parent together college share.",Toys,Camera,2023-09-14,2024-02-27,Active,False,https://www.lorempixel.com/929/853
34,decide,"My medical person upon myself carry all. Doctor firm certain role executive protect. Computer art since own.
His since me expect drop happy. Piece guy action really address expect trouble.",Furniture,Mobile,2020-06-23,2024-05-22,Discontinued,False,https://www.lorempixel.com/681/262
35,everyone,"Blood later hotel protect fill door three. Party central but office them check white.
Speak us magazine pass future decision authority.
Option clear choose draw job hundred.",Electronics,Tablet,2024-02-21,2024-05-27,Discontinued,True,https://www.lorempixel.com/101/560
36,wear,"Buy it scene law. Situation name him defense various. Picture less baby north energy.
Heart official coach service successful her live. Much above leave note.",Books,Television,2022-01-04,2024-02-25,Active,False,https://dummyimage.com/467x430
